Provinsi,Tahun,Tipe_Inflasi,Bulan,Inflasi
ACEH,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.42
SUMATERA UTARA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.4
SUMATERA BARAT,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.32
RIAU,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.11
JAMBI,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.83
SUMATERA SELATAN,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.08
BENGKULU,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.15
LAMPUNG,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.19
KEPULAUAN BANGKA BELITUNG,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.13
KEPULAUAN RIAU,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.51
DKI JAKARTA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.19
JAWA BARAT,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.15
JAWA TENGAH,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.08
DI YOGYAKARTA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.02
JAWA TIMUR,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.1
BANTEN,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.04
BALI,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.09
NUSA TENGGARA BARAT,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.04
NUSA TENGGARA TIMUR,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.97
KALIMANTAN BARAT,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.37
KALIMANTAN TENGAH,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.2
KALIMANTAN SELATAN,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.55
KALIMANTAN TIMUR,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.25
KALIMANTAN UTARA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.05
SULAWESI UTARA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.41
SULAWESI TENGAH,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.08
SULAWESI SELATAN,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.36
SULAWESI TENGGARA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.03
GORONTALO,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.91
SULAWESI BARAT,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.08
MALUKU,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.19
MALUKU UTARA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.02
PAPUA BARAT,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.63
PAPUA BARAT DAYA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.13
PAPUA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.01
PAPUA SELATAN,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.57
PAPUA TENGAH,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.43
PAPUA PEGUNUNGAN,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,1.01
INDONESIA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.04
