Provinsi,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Tahun,Tipe_Inflasi
ACEH,0.42,0.71,0.48,0.05,0.15,0.03,-0.11,0.1,-0.52,-0.08,0.37,0.57,-,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
SUMATERA UTARA,0.4,0.41,0.72,-0.04,0.48,-0.33,-0.82,-0.14,-0.21,0.13,0.54,0.98,-,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
SUMATERA BARAT,-0.32,1.17,0.64,-0.3,0.51,0.14,-1.07,-0.16,-0.44,0.11,0.27,0.35,-,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
RIAU,0.11,0.59,0.72,0.05,0.3,-0.22,-0.8,-0.27,-0.33,0.06,0.43,0.62,-,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
JAMBI,0.83,0.13,0.54,0.18,0.19,-0.13,-0.82,-0.01,-0.17,0.03,0.21,0.46,-,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
SUMATERA SELATAN,-0.08,0.01,0.25,0.43,0.06,-0.03,-0.29,-0.19,-0.12,0.09,0.58,0.5,-,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
BENGKULU,0.15,0.79,0.22,0.13,0.3,-0.04,-0.7,-0.18,-0.28,-0.09,0.2,0.34,-,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
LAMPUNG,-0.19,0.39,0.36,-0.01,0.08,-0.11,-0.16,0.07,0.05,0.2,0.42,0.47,-,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
KEPULAUAN BANGKA BELITUNG,0.13,0.39,0.04,0.54,-0.32,-0.31,-0.39,0.23,-0.02,-0.18,0.01,0.65,-,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
KEPULAUAN RIAU,0.51,-0.22,0.46,0.06,0.37,0.28,-0.45,-0.04,0.14,0.06,0.24,0.68,-,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
DKI JAKARTA,-0.19,0.45,0.37,0.26,-0.1,0.12,-0.06,0.04,-0.1,0.03,0.29,0.37,-,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
JAWA BARAT,0.15,0.45,0.51,0.15,-0.12,-0.04,0.06,0.07,-0.21,0.02,0.24,0.35,-,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
JAWA TENGAH,-0.08,0.57,0.6,0.2,-0.22,-0.28,-0.13,-0.07,0.05,0.19,0.26,0.57,-,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
DI YOGYAKARTA,-0.02,0.39,0.43,0.09,-0.08,-0.25,-0.03,0.05,-0.1,0.09,0.25,0.46,-,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
