Komoditas,no,name,level,Provinsi,Bulan,Harga,Tanggal
Bawang Merah,II,Aceh,1,Aceh,Jan 2024,40950,2024-01-01
Bawang Merah,II,Aceh,1,Aceh,Feb 2024,36850,2024-02-01
Bawang Merah,II,Aceh,1,Aceh,Mar 2024,38300,2024-03-01
Bawang Merah,II,Aceh,1,Aceh,Apr 2024,51500,2024-04-01
Bawang Merah,II,Aceh,1,Aceh,May 2024,59050,2024-05-01
Bawang Merah,II,Aceh,1,Aceh,Jun 2024,51800,2024-06-01
Bawang Merah,II,Aceh,1,Aceh,Jul 2024,36050,2024-07-01
Bawang Merah,II,Aceh,1,Aceh,Aug 2024,26700,2024-08-01
Bawang Merah,II,Aceh,1,Aceh,Sep 2024,28050,2024-09-01
Bawang Merah,II,Aceh,1,Aceh,Oct 2024,31900,2024-10-01
Bawang Merah,II,Aceh,1,Aceh,Nov 2024,37400,2024-11-01
Bawang Merah,II,Aceh,1,Aceh,Dec 2024,38650,2024-12-01
Bawang Merah,II,Aceh,1,Aceh,Jan 2025,44400,2025-01-01
Bawang Merah,II,Aceh,1,Aceh,Feb 2025,36350,2025-02-01
Bawang Merah,II,Aceh,1,Aceh,Mar 2025,40200,2025-03-01
Bawang Merah,II,Aceh,1,Aceh,Apr 2025,44950,2025-04-01
Bawang Merah,II,Aceh,1,Aceh,May 2025,42100,2025-05-01
Bawang Merah,II,Aceh,1,Aceh,Jun 2025,39300,2025-06-01
Bawang Merah,II,Aceh,1,Aceh,Jul 2025,45050,2025-07-01
Bawang Merah,II,Aceh,1,Aceh,Aug 2025,57700,2025-08-01
Bawang Merah,II,Aceh,1,Aceh,Sep 2025,43500,2025-09-01
Bawang Merah,II,Aceh,1,Aceh,Oct 2025,36200,2025-10-01
Bawang Merah,II,Aceh,1,Aceh,Nov 2025,36100,2025-11-01
Bawang Merah,II,Aceh,1,Aceh,Dec 2025,50900,2025-12-01
Bawang Merah,II,Aceh,1,Aceh,Jan 2026,43250,2026-01-01
Bawang Merah,II,Aceh,1,Aceh,Feb 2026,37550,2026-02-01
Bawang Merah,II,Aceh,1,Aceh,Mar 2026,37600,2026-03-01
Bawang Merah,II,Aceh,1,Aceh,Apr 2026,39500,2026-04-01
Bawang Merah,II,Bali,1,Bali,Jan 2024,34450,2024-01-01
Bawang Merah,II,Bali,1,Bali,Feb 2024,27350,2024-02-01
Bawang Merah,II,Bali,1,Bali,Mar 2024,28000,2024-03-01
Bawang Merah,II,Bali,1,Bali,Apr 2024,38550,2024-04-01
Bawang Merah,II,Bali,1,Bali,May 2024,44050,2024-05-01
Bawang Merah,II,Bali,1,Bali,Jun 2024,31250,2024-06-01
Bawang Merah,II,Bali,1,Bali,Jul 2024,25400,2024-07-01
Bawang Merah,II,Bali,1,Bali,Aug 2024,22050,2024-08-01
Bawang Merah,II,Bali,1,Bali,Sep 2024,24050,2024-09-01
Bawang Merah,II,Bali,1,Bali,Oct 2024,24400,2024-10-01
Bawang Merah,II,Bali,1,Bali,Nov 2024,33450,2024-11-01
Bawang Merah,II,Bali,1,Bali,Dec 2024,36100,2024-12-01
Bawang Merah,II,Bali,1,Bali,Jan 2025,35900,2025-01-01
Bawang Merah,II,Bali,1,Bali,Feb 2025,28450,2025-02-01
Bawang Merah,II,Bali,1,Bali,Mar 2025,35950,2025-03-01
Bawang Merah,II,Bali,1,Bali,Apr 2025,45250,2025-04-01
Bawang Merah,II,Bali,1,Bali,May 2025,33950,2025-05-01
Bawang Merah,II,Bali,1,Bali,Jun 2025,33850,2025-06-01
Bawang Merah,II,Bali,1,Bali,Jul 2025,40200,2025-07-01
Bawang Merah,II,Bali,1,Bali,Aug 2025,45050,2025-08-01
Bawang Merah,II,Bali,1,Bali,Sep 2025,34300,2025-09-01
Bawang Merah,II,Bali,1,Bali,Oct 2025,35100,2025-10-01
Bawang Merah,II,Bali,1,Bali,Nov 2025,39500,2025-11-01
Bawang Merah,II,Bali,1,Bali,Dec 2025,50600,2025-12-01
Bawang Merah,II,Bali,1,Bali,Jan 2026,38400,2026-01-01
Bawang Merah,II,Bali,1,Bali,Feb 2026,36800,2026-02-01
Bawang Merah,II,Bali,1,Bali,Mar 2026,39750,2026-03-01
Bawang Merah,II,Bali,1,Bali,Apr 2026,42050,2026-04-01
Bawang Merah,II,Banten,1,Banten,Jan 2024,34750,2024-01-01
Bawang Merah,II,Banten,1,Banten,Feb 2024,33600,2024-02-01
Bawang Merah,II,Banten,1,Banten,Mar 2024,35600,2024-03-01
Bawang Merah,II,Banten,1,Banten,Apr 2024,58450,2024-04-01
Bawang Merah,II,Banten,1,Banten,May 2024,52550,2024-05-01
Bawang Merah,II,Banten,1,Banten,Jun 2024,40800,2024-06-01
Bawang Merah,II,Banten,1,Banten,Jul 2024,29700,2024-07-01
Bawang Merah,II,Banten,1,Banten,Aug 2024,25400,2024-08-01
Bawang Merah,II,Banten,1,Banten,Sep 2024,26750,2024-09-01
Bawang Merah,II,Banten,1,Banten,Oct 2024,30500,2024-10-01
Bawang Merah,II,Banten,1,Banten,Nov 2024,41400,2024-11-01
Bawang Merah,II,Banten,1,Banten,Dec 2024,42900,2024-12-01
Bawang Merah,II,Banten,1,Banten,Jan 2025,36000,2025-01-01
Bawang Merah,II,Banten,1,Banten,Feb 2025,34200,2025-02-01
Bawang Merah,II,Banten,1,Banten,Mar 2025,52250,2025-03-01
Bawang Merah,II,Banten,1,Banten,Apr 2025,52600,2025-04-01
Bawang Merah,II,Banten,1,Banten,May 2025,41850,2025-05-01
Bawang Merah,II,Banten,1,Banten,Jun 2025,45600,2025-06-01
Bawang Merah,II,Banten,1,Banten,Jul 2025,52050,2025-07-01
Bawang Merah,II,Banten,1,Banten,Aug 2025,49450,2025-08-01
Bawang Merah,II,Banten,1,Banten,Sep 2025,40300,2025-09-01
Bawang Merah,II,Banten,1,Banten,Oct 2025,44600,2025-10-01
Bawang Merah,II,Banten,1,Banten,Nov 2025,45950,2025-11-01
Bawang Merah,II,Banten,1,Banten,Dec 2025,46150,2025-12-01
Bawang Merah,II,Banten,1,Banten,Jan 2026,38500,2026-01-01
Bawang Merah,II,Banten,1,Banten,Feb 2026,46900,2026-02-01
Bawang Merah,II,Banten,1,Banten,Mar 2026,45700,2026-03-01
Bawang Merah,II,Banten,1,Banten,Apr 2026,44850,2026-04-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Jan 2024,37400,2024-01-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Feb 2024,34900,2024-02-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Mar 2024,38950,2024-03-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Apr 2024,52350,2024-04-01
Bawang Merah,II,Bengkulu,1,Bengkulu,May 2024,56550,2024-05-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Jun 2024,45200,2024-06-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Jul 2024,33300,2024-07-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Aug 2024,26250,2024-08-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Sep 2024,27950,2024-09-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Oct 2024,30650,2024-10-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Nov 2024,39800,2024-11-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Dec 2024,42550,2024-12-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Jan 2025,40650,2025-01-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Feb 2025,40000,2025-02-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Mar 2025,45000,2025-03-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Apr 2025,48900,2025-04-01
Bawang Merah,II,Bengkulu,1,Bengkulu,May 2025,46100,2025-05-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Jun 2025,43600,2025-06-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Jul 2025,51350,2025-07-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Aug 2025,54550,2025-08-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Sep 2025,41450,2025-09-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Oct 2025,40700,2025-10-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Nov 2025,41700,2025-11-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Dec 2025,47350,2025-12-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Jan 2026,41950,2026-01-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Feb 2026,41100,2026-02-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Mar 2026,40300,2026-03-01
Bawang Merah,II,Bengkulu,1,Bengkulu,Apr 2026,44950,2026-04-01
Bawang Merah,II,DI Yogyakarta,1,DI,Jan 2024,37100,2024-01-01
Bawang Merah,II,DI Yogyakarta,1,DI,Feb 2024,32950,2024-02-01
