Komoditas,no,name,level,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,Provinsi
Beras,II,Sumatera Selatan,1,"14,400","15,150","15,400","15,300","15,100","15,100","14,950","14,850","14,850","14,900","14,900","14,900","14,950","14,950","15,000","14,950","15,050","15,200","15,300","15,500","15,500","15,500","15,500","15,500","15,500","15,600","15,700","15,800",Sumatera
Daging Ayam,II,Sumatera Selatan,1,"31,850","34,750","35,950","35,850","35,400","34,350","31,900","31,250","30,700","34,550","34,150","34,300","34,900","32,400","32,500","30,450","30,300","31,600","33,500","32,300","36,400","36,600","36,150","38,000","37,250","37,700","38,700","36,200",Sumatera
Daging Sapi,II,Sumatera Selatan,1,"138,700","138,750","138,750","140,800","138,750","138,750","138,750","138,100","138,700","138,750","138,750","138,750","139,150","139,100","141,100","141,650","139,150","139,050","139,100","139,100","139,600","140,000","140,000","141,750","140,700","142,150","144,900","141,900",Sumatera
Telur Ayam,II,Sumatera Selatan,1,"26,450","27,300","29,400","28,450","28,800","28,450","28,050","27,300","26,700","27,100","27,050","28,200","27,800","27,700","28,350","27,700","27,250","27,350","27,800","27,800","27,800","28,700","29,200","29,800","30,000","29,800","29,950","29,500",Sumatera
Bawang Merah,II,Sumatera Selatan,1,"36,400","34,750","37,700","53,450","54,750","45,550","34,050","29,350","28,200","30,750","36,500","38,500","41,150","38,700","44,400","45,300","42,300","43,050","44,450","49,850","42,200","36,600","38,100","45,300","45,300","44,000","41,250","41,900",Sumatera
Bawang Putih,II,Sumatera Selatan,1,"39,000","36,800","40,100","45,150","43,100","41,400","38,800","39,350","38,550","39,500","41,450","41,900","42,550","42,600","47,300","47,550","42,800","42,250","39,200","39,200","36,450","36,300","36,000","40,400","38,800","39,900","39,300","41,050",Sumatera
Cabai Merah,II,Sumatera Selatan,1,"54,200","82,250","68,100","54,250","54,550","66,450","59,700","52,000","37,050","32,050","30,450","37,900","61,400","63,200","62,350","60,600","45,500","41,600","43,150","42,000","58,350","60,350","62,550","72,700","42,850","55,300","50,550","40,350",Sumatera
Cabai Rawit,II,Sumatera Selatan,1,"50,750","75,050","80,450","66,400","58,000","59,800","70,100","64,550","51,800","54,000","43,150","46,900","76,750","87,400","88,150","76,050","46,250","43,300","51,300","45,450","49,000","43,400","42,550","74,350","59,150","70,800","66,900","51,350",Sumatera
Minyak Goreng,II,Sumatera Selatan,1,"18,500","18,800","18,850","18,900","18,900","18,900","18,900","19,000","18,800","18,650","19,050","19,900","20,250","20,450","20,450","20,600","20,600","20,650","20,850","20,900","20,900","20,900","20,900","20,900","20,900","20,900","21,000","21,000",Sumatera
Gula Pasir,II,Sumatera Selatan,1,"16,600","17,050","17,150","17,500","18,550","18,500","18,300","18,100","17,900","17,900","17,900","18,100","18,250","18,150","18,250","18,250","18,250","18,250","18,250","18,250","18,250","18,250","18,250","18,250","18,250","18,250","18,550","18,800",Sumatera
